evidence_id,work_id,version_id,extraction_field,normalized_value,evidence_source_level,source_locator,evidence_paraphrase,verification_status,notes
BAII4E0048,BAIIW0029,BAIIV0045,reported_conclusions_and_limitations,methodological=The study reports QPP-like oscillations in two complex Wolf 359 flares.; catalog=Sector-by-sector flare counts are reported for one repeatedly observed M dwarf.; validation=No synthetic or held-out validation is resolved from provider-level evidence.,ABSTRACT,journal abstract/provider record,Authors/source-level conclusions were paraphrased as: The study reports QPP-like oscillations in two complex Wolf 359 flares. Validation context: No synthetic or held-out validation is resolved from provider-level evidence. Limitations: The detailed QPP significance/robustness procedure requires the full journal article.,VERIFIED_WITH_SOURCE_ACCESS_LIMITATION,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0049,BAIIW0033,BAIIV0053,population_and_sample,TESS=YES; sample=Ultra-cool dwarfs M4–L4; sample_size=208 UCDs; flares=778 flares in 103 UCDs; QPP_candidates=NOT_APPLICABLE,ABSTRACT,arXiv abstract,"Available source identifies the observational/sample scope as Ultra-cool dwarfs M4–L4; reported scale: 208 UCDs, flares: 778 flares in 103 UCDs, QPP candidates: NOT_APPLICABLE.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0050,BAIIW0033,BAIIV0053,detection_method_and_processing,primary=TESS rotation and flare-frequency analysis; additional=Bolometric flare energies and FFDs; AFINO=NO; wavelet=NO; Bayesian=NOT_REPORTED; gaps=NOT_REPORTED,ABSTRACT,arXiv abstract,Available source describes the primary analysis as TESS rotation and flare-frequency analysis; additional processing/method information: Bolometric flare energies and FFDs.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0051,BAIIW0033,BAIIV0053,validation_and_robustness,window=NOT_APPLICABLE; processing=YES; injection=NO; ground_truth=NO; selection_function=NOT_REPORTED; heldout=NO,ABSTRACT,arXiv abstract,"Available source reports validation/robustness state: window robustness NOT_APPLICABLE, processing robustness YES, injection–recovery NO, known ground truth NO, selection-function characterization NOT_REPORTED, held-out validation NO.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0052,BAIIW0033,BAIIV0053,reported_conclusions_and_limitations,methodological=TESS 20-s and 2-min data jointly characterize UCD rotation and flaring.; catalog=778 flares are identified in 103 of 208 UCDs.; validation=No injection–recovery/held-out validation is reported in the abstract.,ABSTRACT,arXiv abstract,Authors/source-level conclusions were paraphrased as: TESS 20-s and 2-min data jointly characterize UCD rotation and flaring. Validation context: No injection–recovery/held-out validation is reported in the abstract. Limitations: Detection completeness by cadence is not quantified in the abstract.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0053,BAIIW0035,BAIIV0057,population_and_sample,TESS=YES; sample=Kepler/TESS star–planet systems; sample_size=1811 systems searched; 25 single stars with ≥3 flares; flares=NOT_REPORTED; QPP_candidates=NOT_APPLICABLE,ABSTRACT,arXiv abstract,"Available source identifies the observational/sample scope as Kepler/TESS star–planet systems; reported scale: 1811 systems searched; 25 single stars with ≥3 flares, flares: NOT_REPORTED, QPP candidates: NOT_APPLICABLE.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0054,BAIIW0035,BAIIV0057,detection_method_and_processing,primary=Orbital-phase clustering of stellar flares; additional=Comparison with theoretical magnetic-interaction power; AFINO=NO; wavelet=NO; Bayesian=NOT_REPORTED; gaps=NOT_REPORTED,ABSTRACT,arXiv abstract,Available source describes the primary analysis as Orbital-phase clustering of stellar flares; additional processing/method information: Comparison with theoretical magnetic-interaction power.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0055,BAIIW0035,BAIIV0057,validation_and_robustness,window=NOT_APPLICABLE; processing=NOT_REPORTED; injection=NO; ground_truth=NO; selection_function=NO; heldout=NO,ABSTRACT,arXiv abstract,"Available source reports validation/robustness state: window robustness NOT_APPLICABLE, processing robustness NOT_REPORTED, injection–recovery NO, known ground truth NO, selection-function characterization NO, held-out validation NO.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0056,BAIIW0035,BAIIV0057,reported_conclusions_and_limitations,methodological=Flares are tested for clustering in planetary orbital phase as a possible magnetic star–planet interaction signature.; catalog=25 single stars with at least three flares remain from 1811 searched systems.; validation=No injection–recovery/held-out detector validation is described in the abstract.,ABSTRACT,arXiv abstract,Authors/source-level conclusions were paraphrased as: Flares are tested for clustering in planetary orbital phase as a possible magnetic star–planet interaction signature. Validation context: No injection–recovery/held-out detector validation is described in the abstract. Limitations: Most systems show no clustering; the main positive case remains a candidate interpretation.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0057,BAIIW0037,BAIIV0060,population_and_sample,"TESS=YES; sample=Method study demonstrated on three TESS stars; sample_size=3 exemplar stars; flares=up to 145, 460 and 403 detections depending target/threshold; QPP_candidates=NOT_APPLICABLE",ABSTRACT,arXiv abstract,"Available source identifies the observational/sample scope as Method study demonstrated on three TESS stars; reported scale: 3 exemplar stars, flares: up to 145, 460 and 403 detections depending target/threshold, QPP candidates: NOT_APPLICABLE.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0058,BAIIW0037,BAIIV0060,detection_method_and_processing,primary=Time-varying harmonic trend + ARMA/GARCH flare detection; additional=Threshold-dependent flare characterization and power-law energy/peak-flux distributions; AFINO=NO; wavelet=NO; Bayesian=NO; gaps=NOT_REPORTED,ABSTRACT,arXiv abstract,Available source describes the primary analysis as Time-varying harmonic trend + ARMA/GARCH flare detection; additional processing/method information: Threshold-dependent flare characterization and power-law energy/peak-flux distributions.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0059,BAIIW0037,BAIIV0060,validation_and_robustness,window=NOT_APPLICABLE; processing=YES; injection=NOT_REPORTED; ground_truth=NOT_REPORTED; selection_function=NOT_REPORTED; heldout=NOT_REPORTED,ABSTRACT,arXiv abstract,"Available source reports validation/robustness state: window robustness NOT_APPLICABLE, processing robustness YES, injection–recovery NOT_REPORTED, known ground truth NOT_REPORTED, selection-function characterization NOT_REPORTED, held-out validation NOT_REPORTED.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0060,BAIIW0037,BAIIV0060,reported_conclusions_and_limitations,methodological=Explicit deterministic-trend and stochastic-volatility modeling provides a concrete alternative flare detector for variable TESS baselines.; catalog=The method is demonstrated on three stars rather than a survey catalogue.; validation=The abstract does not resolve an injection–recovery or held-out benchmark.,ABSTRACT,arXiv abstract,Authors/source-level conclusions were paraphrased as: Explicit deterministic-trend and stochastic-volatility modeling provides a concrete alternative flare detector for variable TESS baselines. Validation context: The abstract does not resolve an injection–recovery or held-out benchmark. Limitations: Detection counts depend on chosen thresholds; broader validation is not reported in the abstract.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0061,BAIIW0040,BAIIV0064,population_and_sample,TESS=YES; sample=Solar-type superflare stars; sample_size=711 selected TESS superflare stars; 401 with KWS records; flares=NOT_REPORTED; QPP_candidates=NOT_APPLICABLE,ABSTRACT,journal abstract/metadata,"Available source identifies the observational/sample scope as Solar-type superflare stars; reported scale: 711 selected TESS superflare stars; 401 with KWS records, flares: NOT_REPORTED, QPP candidates: NOT_APPLICABLE.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0062,BAIIW0040,BAIIV0064,detection_method_and_processing,primary=Long-term activity-cycle analysis combining TESS selection and archival ground photometry; additional=NOT_REPORTED; AFINO=NO; wavelet=NOT_REPORTED; Bayesian=NOT_REPORTED; gaps=NOT_REPORTED,ABSTRACT,journal abstract/metadata,Available source describes the primary analysis as Long-term activity-cycle analysis combining TESS selection and archival ground photometry; additional processing/method information: NOT_REPORTED.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0063,BAIIW0040,BAIIV0064,validation_and_robustness,window=NOT_APPLICABLE; processing=NOT_REPORTED; injection=NO; ground_truth=NO; selection_function=NO; heldout=NO,ABSTRACT,journal abstract/metadata,"Available source reports validation/robustness state: window robustness NOT_APPLICABLE, processing robustness NOT_REPORTED, injection–recovery NO, known ground truth NO, selection-function characterization NO, held-out validation NO.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0064,BAIIW0040,BAIIV0064,reported_conclusions_and_limitations,methodological=Long-baseline ground data are used to search activity cycles in TESS-selected superflare stars.; catalog=711 TESS superflare stars were selected; 401 had sufficient KWS data and cycles were reported in a subset.; validation=No injection–recovery/held-out validation is reported.,ABSTRACT,journal abstract/metadata,Authors/source-level conclusions were paraphrased as: Long-baseline ground data are used to search activity cycles in TESS-selected superflare stars. Validation context: No injection–recovery/held-out validation is reported. Limitations: This is activity-cycle context rather than a QPP-detection study.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0065,BAIIW0041,BAIIV0066,population_and_sample,"TESS=YES; sample=26 young moving groups/clusters/associations (<300 Myr); sample_size=3157 flaring stars; rotation periods for 1847; flares=26,355; QPP_candidates=NOT_APPLICABLE",ABSTRACT,arXiv abstract,"Available source identifies the observational/sample scope as 26 young moving groups/clusters/associations (<300 Myr); reported scale: 3157 flaring stars; rotation periods for 1847, flares: 26,355, QPP candidates: NOT_APPLICABLE.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0066,BAIIW0041,BAIIV0066,detection_method_and_processing,primary=TESS population flare-rate/FFD analysis; additional=Rotation and annual flare-rate variability; AFINO=NO; wavelet=NO; Bayesian=NOT_REPORTED; gaps=NOT_REPORTED,ABSTRACT,arXiv abstract,Available source describes the primary analysis as TESS population flare-rate/FFD analysis; additional processing/method information: Rotation and annual flare-rate variability.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0067,BAIIW0041,BAIIV0066,validation_and_robustness,window=NOT_APPLICABLE; processing=NOT_REPORTED; injection=NO; ground_truth=NO; selection_function=NOT_REPORTED; heldout=NO,ABSTRACT,arXiv abstract,"Available source reports validation/robustness state: window robustness NOT_APPLICABLE, processing robustness NOT_REPORTED, injection–recovery NO, known ground truth NO, selection-function characterization NOT_REPORTED, held-out validation NO.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0068,BAIIW0041,BAIIV0066,reported_conclusions_and_limitations,"methodological=A large young-star TESS population is used to measure flare-rate and FFD evolution with age/rotation.; catalog=26,355 flares from 3157 stars; 1847 rotation periods; annual flare-rate variability in eleven stars.; validation=No explicit injection–recovery or held-out validation is stated in the abstract.",ABSTRACT,arXiv abstract,Authors/source-level conclusions were paraphrased as: A large young-star TESS population is used to measure flare-rate and FFD evolution with age/rotation. Validation context: No explicit injection–recovery or held-out validation is stated in the abstract. Limitations: Population-level flare detection challenges are acknowledged as motivation; detailed completeness is not in the abstract.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0069,BAIIW0043,BAIIV0068,population_and_sample,TESS=YES; sample=eRASS1 X-ray stars crossmatched with TESS and LAMOST; sample_size=1430 flare-active stars reported in accessible abstract summary; flares=7229 reported flares; QPP_candidates=NOT_APPLICABLE,ABSTRACT,journal abstract/provider record,"Available source identifies the observational/sample scope as eRASS1 X-ray stars crossmatched with TESS and LAMOST; reported scale: 1430 flare-active stars reported in accessible abstract summary, flares: 7229 reported flares, QPP candidates: NOT_APPLICABLE.",VERIFIED_WITH_SOURCE_ACCESS_LIMITATION,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0070,BAIIW0043,BAIIV0068,detection_method_and_processing,primary=TESS flare survey of X-ray-selected stars; additional=LAMOST spectroscopy/eROSITA context; AFINO=NO; wavelet=NO; Bayesian=NOT_REPORTED; gaps=NOT_REPORTED,ABSTRACT,journal abstract/provider record,Available source describes the primary analysis as TESS flare survey of X-ray-selected stars; additional processing/method information: LAMOST spectroscopy/eROSITA context.,VERIFIED_WITH_SOURCE_ACCESS_LIMITATION,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0071,BAIIW0043,BAIIV0068,validation_and_robustness,window=NOT_APPLICABLE; processing=NOT_REPORTED; injection=NOT_REPORTED; ground_truth=NOT_REPORTED; selection_function=NOT_REPORTED; heldout=NOT_REPORTED,ABSTRACT,journal abstract/provider record,"Available source reports validation/robustness state: window robustness NOT_APPLICABLE, processing robustness NOT_REPORTED, injection–recovery NOT_REPORTED, known ground truth NOT_REPORTED, selection-function characterization NOT_REPORTED, held-out validation NOT_REPORTED.",VERIFIED_WITH_SOURCE_ACCESS_LIMITATION,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0072,BAIIW0043,BAIIV0068,reported_conclusions_and_limitations,methodological=TESS flare activity is characterized for an X-ray-selected eROSITA population with LAMOST context.; catalog=The accessible abstract-level evidence reports 7229 flares on 1430 stars.; validation=Detailed classifier validation is not resolved from the provider-level evidence used here.,ABSTRACT,journal abstract/provider record,Authors/source-level conclusions were paraphrased as: TESS flare activity is characterized for an X-ray-selected eROSITA population with LAMOST context. Validation context: Detailed classifier validation is not resolved from the provider-level evidence used here. Limitations: Full detection and completeness mechanics require the journal article.,VERIFIED_WITH_SOURCE_ACCESS_LIMITATION,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0073,BAIIW0050,BAIIV0080,population_and_sample,TESS=YES; sample=Sample of active M dwarfs; sample_size=NOT_REPORTED; flares=NOT_REPORTED; QPP_candidates=NOT_APPLICABLE,ABSTRACT,arXiv abstract,"Available source identifies the observational/sample scope as Sample of active M dwarfs; reported scale: NOT_REPORTED, flares: NOT_REPORTED, QPP candidates: NOT_APPLICABLE.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0074,BAIIW0050,BAIIV0080,detection_method_and_processing,primary=TESS flare occurrence + FFD + rotation/starspot/spectroscopic activity analysis; additional=Hα and chromospheric indicators; AFINO=NO; wavelet=NO; Bayesian=NOT_REPORTED; gaps=NOT_REPORTED,ABSTRACT,arXiv abstract,Available source describes the primary analysis as TESS flare occurrence + FFD + rotation/starspot/spectroscopic activity analysis; additional processing/method information: Hα and chromospheric indicators.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0075,BAIIW0050,BAIIV0080,validation_and_robustness,window=NOT_APPLICABLE; processing=NOT_REPORTED; injection=NO; ground_truth=NO; selection_function=NOT_REPORTED; heldout=NO,ABSTRACT,arXiv abstract,"Available source reports validation/robustness state: window robustness NOT_APPLICABLE, processing robustness NOT_REPORTED, injection–recovery NO, known ground truth NO, selection-function characterization NOT_REPORTED, held-out validation NO.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0076,BAIIW0050,BAIIV0080,reported_conclusions_and_limitations,methodological=Photometric and spectroscopic activity indicators are jointly related to rotation and flare occurrence.; catalog=The study reports spectral-type and rotation-dependent flare occurrence and FFD slopes.; validation=No injection–recovery/held-out validation is reported in the abstract.,ABSTRACT,arXiv abstract,Authors/source-level conclusions were paraphrased as: Photometric and spectroscopic activity indicators are jointly related to rotation and flare occurrence. Validation context: No injection–recovery/held-out validation is reported in the abstract. Limitations: Sample size and detector details are not reported in the abstract.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0077,BAIIW0053,BAIIV0085,population_and_sample,TESS=YES; sample=Three nearby young solar-type stars over ~7 years; sample_size=3 stars; flares=NOT_REPORTED; QPP_candidates=NOT_APPLICABLE,ABSTRACT,arXiv abstract,"Available source identifies the observational/sample scope as Three nearby young solar-type stars over ~7 years; reported scale: 3 stars, flares: NOT_REPORTED, QPP candidates: NOT_APPLICABLE.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0078,BAIIW0053,BAIIV0085,detection_method_and_processing,"primary=Sector-level flare frequency, starspot area and rotation analysis; additional=Time-resolved correlation across sectors; AFINO=NO; wavelet=NO; Bayesian=NOT_REPORTED; gaps=NOT_REPORTED",ABSTRACT,arXiv abstract,"Available source describes the primary analysis as Sector-level flare frequency, starspot area and rotation analysis; additional processing/method information: Time-resolved correlation across sectors.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0079,BAIIW0053,BAIIV0085,validation_and_robustness,window=YES; processing=NOT_REPORTED; injection=NO; ground_truth=NO; selection_function=NO; heldout=NO,ABSTRACT,arXiv abstract,"Available source reports validation/robustness state: window robustness YES, processing robustness NOT_REPORTED, injection–recovery NO, known ground truth NO, selection-function characterization NO, held-out validation NO.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0080,BAIIW0053,BAIIV0085,reported_conclusions_and_limitations,methodological=Sector-by-sector analysis tracks flare frequency and starspot area on multi-year timescales.; catalog=Three stars show significant temporal variation and positive flare-frequency/starspot-area correlations.; validation=No synthetic or held-out validation is reported.,ABSTRACT,arXiv abstract,Authors/source-level conclusions were paraphrased as: Sector-by-sector analysis tracks flare frequency and starspot area on multi-year timescales. Validation context: No synthetic or held-out validation is reported. Limitations: Only three representative stars are studied; no activity-cycle-like pattern is confidently identified.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0081,BAIIW0055,BAIIV0088,population_and_sample,"TESS=YES; sample=Radio-star catalog crossmatched with TESS; sample_size=1537 catalog radio stars + 98 survey radio stars; flares=12,155 flares on 856 stars + 3992 flares on 86 stars; QPP_candidates=NOT_APPLICABLE",ABSTRACT,VizieR record plus institutional article abstract,"Available source identifies the observational/sample scope as Radio-star catalog crossmatched with TESS; reported scale: 1537 catalog radio stars + 98 survey radio stars, flares: 12,155 flares on 856 stars + 3992 flares on 86 stars, QPP candidates: NOT_APPLICABLE.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0082,BAIIW0055,BAIIV0088,detection_method_and_processing,primary=Repeated fitting for flare/background separation; additional=LAMOST/Gaia/radio activity comparison; AFINO=NO; wavelet=NO; Bayesian=NOT_REPORTED; gaps=NOT_REPORTED,ABSTRACT,VizieR record plus institutional article abstract,Available source describes the primary analysis as Repeated fitting for flare/background separation; additional processing/method information: LAMOST/Gaia/radio activity comparison.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0083,BAIIW0055,BAIIV0088,validation_and_robustness,window=NOT_APPLICABLE; processing=NOT_REPORTED; injection=NO; ground_truth=NO; selection_function=NOT_REPORTED; heldout=NO,ABSTRACT,VizieR record plus institutional article abstract,"Available source reports validation/robustness state: window robustness NOT_APPLICABLE, processing robustness NOT_REPORTED, injection–recovery NO, known ground truth NO, selection-function characterization NOT_REPORTED, held-out validation NO.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0084,BAIIW0055,BAIIV0088,reported_conclusions_and_limitations,"methodological=A repeated-fitting pipeline separates flare events from TESS background variability in radio-star samples.; catalog=The linked article reports 12,155 flares in 856 Sample-1 stars and 3992 flares in 86 Sample-2 stars.; validation=No injection–recovery/held-out validation is reported in the accessible abstract.",ABSTRACT,VizieR record plus institutional article abstract,Authors/source-level conclusions were paraphrased as: A repeated-fitting pipeline separates flare events from TESS background variability in radio-star samples. Validation context: No injection–recovery/held-out validation is reported in the accessible abstract. Limitations: The BAII preferred version is the VizieR catalogue record; article information is used only as linked methodological context without changing version identity.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0085,BAIIW0057,BAIIV0090,population_and_sample,TESS=YES; sample=Wide noninteracting binaries in TESS Cycle 3; sample_size=3912 binaries; flares=NOT_REPORTED; QPP_candidates=NOT_APPLICABLE,ABSTRACT,BAAS AAS245 abstract #352.18,"Available source identifies the observational/sample scope as Wide noninteracting binaries in TESS Cycle 3; reported scale: 3912 binaries, flares: NOT_REPORTED, QPP candidates: NOT_APPLICABLE.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0086,BAIIW0057,BAIIV0090,detection_method_and_processing,primary=AltaiPony flare detection; additional=Flare frequency/equivalent duration vs rotation; AFINO=NO; wavelet=NO; Bayesian=NO; gaps=NOT_REPORTED,ABSTRACT,BAAS AAS245 abstract #352.18,Available source describes the primary analysis as AltaiPony flare detection; additional processing/method information: Flare frequency/equivalent duration vs rotation.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0087,BAIIW0057,BAIIV0090,validation_and_robustness,window=NOT_APPLICABLE; processing=NOT_REPORTED; injection=NO; ground_truth=NO; selection_function=NOT_REPORTED; heldout=NO,ABSTRACT,BAAS AAS245 abstract #352.18,"Available source reports validation/robustness state: window robustness NOT_APPLICABLE, processing robustness NOT_REPORTED, injection–recovery NO, known ground truth NO, selection-function characterization NOT_REPORTED, held-out validation NO.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0088,BAIIW0057,BAIIV0090,reported_conclusions_and_limitations,methodological=AltaiPony flare measurements are related to known rotation periods in a large binary sample.; catalog=Preliminary results from 3912 TESS Cycle-3 wide binaries show decreasing flare rate with longer rotation period.; validation=No injection–recovery/held-out validation is reported in the abstract.,ABSTRACT,BAAS AAS245 abstract #352.18,Authors/source-level conclusions were paraphrased as: AltaiPony flare measurements are related to known rotation periods in a large binary sample. Validation context: No injection–recovery/held-out validation is reported in the abstract. Limitations: Conference abstract reports preliminary results.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0089,BAIIW0065,BAIIV0101,population_and_sample,TESS=YES; sample=β Pictoris and AB Doradus moving-group low-mass stars; sample_size=NOT_REPORTED; flares=NOT_REPORTED; QPP_candidates=NOT_APPLICABLE,ABSTRACT,BAAS AAS243 abstract #259.08,"Available source identifies the observational/sample scope as β Pictoris and AB Doradus moving-group low-mass stars; reported scale: NOT_REPORTED, flares: NOT_REPORTED, QPP candidates: NOT_APPLICABLE.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0090,BAIIW0065,BAIIV0101,detection_method_and_processing,primary=Outlier detection + morphology-informed machine learning; additional=Flare rate/energy versus stellar properties; AFINO=NO; wavelet=NO; Bayesian=NO; gaps=NOT_REPORTED,ABSTRACT,BAAS AAS243 abstract #259.08,Available source describes the primary analysis as Outlier detection + morphology-informed machine learning; additional processing/method information: Flare rate/energy versus stellar properties.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0091,BAIIW0065,BAIIV0101,validation_and_robustness,window=NOT_APPLICABLE; processing=NOT_REPORTED; injection=NO; ground_truth=NO; selection_function=NOT_REPORTED; heldout=NO,ABSTRACT,BAAS AAS243 abstract #259.08,"Available source reports validation/robustness state: window robustness NOT_APPLICABLE, processing robustness NOT_REPORTED, injection–recovery NO, known ground truth NO, selection-function characterization NOT_REPORTED, held-out validation NO.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0092,BAIIW0065,BAIIV0101,reported_conclusions_and_limitations,methodological=The abstract combines explicit blend screening with outlier and morphology-informed ML flare extraction.; catalog=It compares flare activity in two young moving groups at different ages.; validation=No injection–recovery/held-out validation is reported.,ABSTRACT,BAAS AAS243 abstract #259.08,Authors/source-level conclusions were paraphrased as: The abstract combines explicit blend screening with outlier and morphology-informed ML flare extraction. Validation context: No injection–recovery/held-out validation is reported. Limitations: Preliminary conference analysis; sample and completeness details are not fully reported.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0093,BAIIW0071,BAIIV0113,population_and_sample,"TESS=YES; sample=TESS Continuous Viewing Zone long-baseline short-cadence survey; sample_size=>14,000 stars; flares=NOT_REPORTED; QPP_candidates=NOT_APPLICABLE",ABSTRACT,arXiv abstract,"Available source identifies the observational/sample scope as TESS Continuous Viewing Zone long-baseline short-cadence survey; reported scale: >14,000 stars, flares: NOT_REPORTED, QPP candidates: NOT_APPLICABLE.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0094,BAIIW0071,BAIIV0113,detection_method_and_processing,primary=Long-term flare-rate monitoring with per-star injection–recovery; additional=Completeness limits and activity-cycle search; AFINO=NO; wavelet=NO; Bayesian=NOT_REPORTED; gaps=NOT_REPORTED,ABSTRACT,arXiv abstract,Available source describes the primary analysis as Long-term flare-rate monitoring with per-star injection–recovery; additional processing/method information: Completeness limits and activity-cycle search.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0095,BAIIW0071,BAIIV0113,validation_and_robustness,window=YES; processing=NOT_REPORTED; injection=YES; ground_truth=YES; selection_function=YES; heldout=NOT_REPORTED,ABSTRACT,arXiv abstract,"Available source reports validation/robustness state: window robustness YES, processing robustness NOT_REPORTED, injection–recovery YES, known ground truth YES, selection-function characterization YES, held-out validation NOT_REPORTED.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
